Project 1 - FYS3150
Solving the one-dimensional Poissons equation
n = 100
Sun Sep  4 14:26:13 2016

                     x(i)                     v(i)
                        0   0.0000000000000000e+00
   9.9009900990099011e-03   8.4296833370226823e-02
   1.9801980198019802e-02   1.5971479466596725e-01
   2.9702970297029702e-02   2.2709086194787487e-01
   3.9603960396039604e-02   2.8718311448538991e-01
   4.9504950495049507e-02   3.4067817025068026e-01
   5.9405940594059403e-02   3.8819792230784728e-01
   6.9306930693069313e-02   4.3030564018791762e-01
   7.9207920792079209e-02   4.6751149611003534e-01
   8.9108910891089105e-02   5.0027757026645248e-01
   9.9009900990099015e-02   5.2902238427802428e-01
   1.0891089108910891e-01   5.5412500729781222e-01
   1.1881188118811881e-01   5.7592877504765794e-01
   1.2871287128712872e-01   5.9474465827508982e-01
   1.3861386138613863e-01   6.1085431367839660e-01
   1.4851485148514851e-01   6.2451284723240508e-01
   1.5841584158415842e-01   6.3595131702587238e-01
   1.6831683168316833e-01   6.4537900016575955e-01
   1.7821782178217821e-01   6.5298544598891728e-01
   1.8811881188118812e-01   6.5894233572518646e-01
   1.9801980198019803e-01   6.6340516685701301e-01
   2.0792079207920791e-01   6.6651477870078302e-01
   2.1782178217821782e-01   6.6839873417731066e-01
   2.2772277227722773e-01   6.6917257132799079e-01
   2.3762376237623761e-01   6.6894093685520506e-01
   2.4752475247524752e-01   6.6779861280811359e-01
   2.5742574257425743e-01   6.6583144648661730e-01
   2.6732673267326734e-01   6.6311719268675162e-01
   2.7722772277227725e-01   6.5972627655075733e-01
   2.8712871287128711e-01   6.5572248450612891e-01
   2.9702970297029702e-01   6.5116359007242230e-01
   3.0693069306930693e-01   6.4610192067559613e-01
   3.1683168316831684e-01   6.4058487103088535e-01
   3.2673267326732675e-01   6.3465536813099077e-01
   3.3663366336633666e-01   6.2835229240157220e-01
   3.4653465346534656e-01   6.2171085915598756e-01
   3.5643564356435642e-01   6.1476296409172093e-01
   3.6633663366336633e-01   6.0753749621815467e-01
   3.7623762376237624e-01   6.0006062128581084e-01
   3.8613861386138615e-01   5.9235603849777807e-01
   3.9603960396039606e-01   5.8444521302191221e-01
   4.0594059405940597e-01   5.7634758658498186e-01
   4.1584158415841582e-01   5.6808076821489173e-01
   4.2574257425742573e-01   5.5966070700234893e-01
   4.3564356435643564e-01   5.5110184857693445e-01
   4.4554455445544555e-01   5.4241727683276009e-01
   4.5544554455445546e-01   5.3361884229417733e-01
   4.6534653465346537e-01   5.2471727838093207e-01
   4.7524752475247523e-01   5.1572230671343688e-01
   4.8514851485148514e-01   5.0664273249131031e-01
   4.9504950495049505e-01   4.9748653088093692e-01
   5.0495049504950495e-01   4.8826092525959597e-01
   5.1485148514851486e-01   4.7897245808380834e-01
   5.2475247524752477e-01   4.6962705507718938e-01
   5.3465346534653468e-01   4.6023008336755333e-01
   5.4455445544554459e-01   4.5078640414365034e-01
   5.5445544554455450e-01   4.4130042034814942e-01
   5.6435643564356441e-01   4.3177611987478254e-01
   5.7425742574257421e-01   4.2221711469345546e-01
   5.8415841584158412e-01   4.1262667628718097e-01
   5.9405940594059403e-01   4.0300776774850461e-01
   6.0396039603960394e-01   3.9336307285032052e-01
   6.1386138613861385e-01   3.8369502237629027e-01
   6.2376237623762376e-01   3.7400581796919158e-01
   6.3366336633663367e-01   3.6429745373117250e-01
   6.4356435643564358e-01   3.5457173578782997e-01
   6.5346534653465349e-01   3.4483030000805648e-01
   6.6336633663366340e-01   3.3507462805350258e-01
   6.7326732673267331e-01   3.2530606191511702e-01
   6.8316831683168322e-01   3.1552581707938132e-01
   6.9306930693069313e-01   3.0573499445341262e-01
   7.0297029702970293e-01   2.9593459116593179e-01
   7.1287128712871284e-01   2.8612551035006495e-01
   7.2277227722772275e-01   2.7630857000395626e-01
   7.3267326732673266e-01   2.6648451101612453e-01
   7.4257425742574257e-01   2.5665400443429898e-01
   7.5247524752475248e-01   2.4681765804904934e-01
   7.6237623762376239e-01   2.3697602235680168e-01
   7.7227722772277230e-01   2.2712959596074300e-01
   7.8217821782178221e-01   2.1727883046260285e-01
   7.9207920792079212e-01   2.0742413489330483e-01
   8.0198019801980203e-01   1.9756587972595727e-01
   8.1188118811881194e-01   1.8770440051055420e-01
   8.2178217821782185e-01   1.7784000116604692e-01
   8.3168316831683164e-01   1.6797295696208389e-01
   8.4158415841584155e-01   1.5810351721967336e-01
   8.5148514851485146e-01   1.4823190775726466e-01
   8.6138613861386137e-01   1.3835833310624659e-01
   8.7128712871287128e-01   1.2848297851759896e-01
   8.8118811881188119e-01   1.1860601177938457e-01
   8.9108910891089110e-01   1.0872758486291312e-01
   9.0099009900990101e-01   9.8847835413727367e-02
   9.1089108910891092e-01   8.8966888102039593e-02
   9.2079207920792083e-01   7.9084855845867455e-02
   9.3069306930693074e-01   6.9201840918869467e-02
   9.4059405940594065e-01   5.9317935953748901e-02
   9.5049504950495045e-01   4.9433224851070531e-02
   9.6039603960396036e-01   3.9547783602406725e-02
   9.7029702970297027e-01   2.9661681035888548e-02
   9.8019801980198018e-01   1.9774979491476594e-02
   9.9009900990099009e-01   9.8877354325765388e-03
   1.0000000000000000e+00   0.0000000000000000e+00
