RESULTS:
  step size [h]        f'_(2c)        f'_(3c)
      1000.0000  0.00061448116   0.0015697964
      500.00000   0.0012269708   0.0031375927
      250.00000   0.0024460088   0.0062671849
      125.00000   0.0048605553    0.012502363
      62.500000   0.0095973592    0.024876632
      31.250000    0.018715991    0.049239736
      15.625000    0.035638966    0.096406996
      7.8125000    0.064962581     0.18423010
      3.9062500     0.11000157     0.32949743
      1.9531250     0.16732401     0.45476133
     0.97656250     0.22458331     0.39019471
     0.48828125     0.26939881     0.34805763
     0.24414062     0.29840064     0.33701488
     0.12207031     0.31504005     0.33425316
    0.061035156     0.32396874     0.33356348
    0.030517578     0.32859570     0.33339062
    0.015258789     0.33094922     0.33334765
   0.0076293945     0.33214062     0.33333984
   0.0038146973     0.33273438     0.33333594
   0.0019073486     0.33303124     0.33332813
  0.00095367432     0.33318749     0.33334374
  0.00047683716     0.33324999     0.33331251
  0.00023841858     0.33324999     0.33324999
  0.00011920929     0.33350000     0.33350000
  5.9604645E-05     0.33300000     0.33300000
  2.9802322E-05     0.33399999     0.33399999
  1.4901161E-05     0.33199999     0.33199999
  7.4505806E-06     0.33600000     0.33600000
  3.7252903E-06     0.33600000     0.33600000
  1.8626451E-06     0.35200000     0.35200000
  9.3132257E-07     0.31999999     0.31999999
  4.6566129E-07     0.38400000     0.38400000
  2.3283064E-07     0.25600001     0.25600001
  1.1641532E-07     0.51200002     0.51200002
  5.8207661E-08      0.0000000      0.0000000
  2.9103830E-08      0.0000000      0.0000000
  1.4551915E-08      0.0000000      0.0000000
  7.2759576E-09      0.0000000      0.0000000
  3.6379788E-09      0.0000000      0.0000000
  1.8189894E-09      0.0000000      0.0000000
  9.0949470E-10      0.0000000      0.0000000
  4.5474735E-10      0.0000000      0.0000000
  2.2737368E-10      0.0000000      0.0000000
  1.1368684E-10      0.0000000      0.0000000
  5.6843419E-11      0.0000000      0.0000000
  2.8421709E-11      0.0000000      0.0000000
  1.4210855E-11      0.0000000      0.0000000
  7.1054274E-12      0.0000000      0.0000000
  3.5527137E-12      0.0000000      0.0000000
  1.7763568E-12      0.0000000      0.0000000
  8.8817842E-13      0.0000000      0.0000000
  4.4408921E-13      0.0000000      0.0000000
  2.2204460E-13      0.0000000      0.0000000
  1.1102230E-13      0.0000000      0.0000000
  5.5511151E-14      0.0000000      0.0000000
  2.7755576E-14      0.0000000      0.0000000
  1.3877788E-14      0.0000000      0.0000000
  6.9388939E-15      0.0000000      0.0000000
  3.4694470E-15      0.0000000      0.0000000
  1.7347235E-15      0.0000000      0.0000000
  8.6736174E-16      0.0000000      0.0000000
  4.3368087E-16      0.0000000      0.0000000
  2.1684043E-16      0.0000000      0.0000000
  1.0842022E-16      0.0000000      0.0000000
  5.4210109E-17      0.0000000      0.0000000
  2.7105054E-17      0.0000000      0.0000000
  1.3552527E-17      0.0000000      0.0000000
  6.7762636E-18      0.0000000      0.0000000
  3.3881318E-18      0.0000000      0.0000000
  1.6940659E-18      0.0000000      0.0000000
  8.4703295E-19      0.0000000      0.0000000
  4.2351647E-19      0.0000000      0.0000000
  2.1175824E-19      0.0000000      0.0000000
  1.0587912E-19      0.0000000      0.0000000
  5.2939559E-20      0.0000000      0.0000000
  2.6469780E-20      0.0000000      0.0000000
  1.3234890E-20      0.0000000      0.0000000
  6.6174449E-21      0.0000000      0.0000000
  3.3087225E-21      0.0000000      0.0000000
  1.6543612E-21      0.0000000      0.0000000
  8.2718061E-22      0.0000000      0.0000000
  4.1359031E-22      0.0000000      0.0000000
  2.0679515E-22      0.0000000      0.0000000
  1.0339758E-22      0.0000000      0.0000000
  5.1698788E-23      0.0000000      0.0000000
  2.5849394E-23      0.0000000      0.0000000
  1.2924697E-23      0.0000000      0.0000000
  6.4623485E-24      0.0000000      0.0000000
  3.2311743E-24      0.0000000      0.0000000
  1.6155871E-24      0.0000000      0.0000000
  8.0779357E-25      0.0000000      0.0000000
  4.0389678E-25      0.0000000      0.0000000
  2.0194839E-25      0.0000000      0.0000000
  1.0097420E-25      0.0000000      0.0000000
  5.0487098E-26      0.0000000      0.0000000
  2.5243549E-26      0.0000000      0.0000000
  1.2621774E-26      0.0000000      0.0000000
  6.3108872E-27      0.0000000      0.0000000
  3.1554436E-27      0.0000000      0.0000000
  1.5777218E-27      0.0000000      0.0000000
